Name,Price,Offer,PreviousPrice,Retailer,DateScraped
19 Crimes Red Blend (75 cl),10.00,"WAS 14.99, NOW 10.00, SAVE 4.99",14.99,SuperValu,20210615
19 Crimes Sauv Block (75 cl),10.00,"WAS 14.99, NOW 10.00, SAVE 4.99",14.99,SuperValu,20210615
Abellio Albarino (75 cl),10.00,"WAS 13.99, NOW 10.00, SAVE 3.99",13.99,SuperValu,20210615
Alterra Special Reserve Cabernet Sauvignon (75 cl),7.99,"WAS 15.99, NOW 7.99, SAVE 8.00",15.99,SuperValu,20210615
Alterra Special Reserve Chardonnay (75 cl),7.99,"WAS 15.99, NOW 7.99, SAVE 8.00",15.99,SuperValu,20210615
Budweiser Lager Bottles 6 Pack (330 ml),9.00,"WAS 11.50, NOW 9.00, SAVE 2.50",11.50,SuperValu,20210615
Budweiser Lager Cans 12 Pack (500 ml),15.00,"WAS 20.00, NOW 15.00, SAVE 5.00",20.00,SuperValu,20210615
Budweiser Lager Cans 8 Pack (500 ml),13.00,"WAS 14.50, NOW 13.00, SAVE 1.50",14.50,SuperValu,20210615
Carlsberg Danish Pilsner Lager Cans 12 Pack (500 ml),15.00,"WAS 19.00, NOW 15.00, SAVE 4.00",19.00,SuperValu,20210615
Carlsberg Lager Can 15 pack (500 ml),19.00,"WAS 24.00, NOW 19.00, SAVE 5.00",24.00,SuperValu,20210615
Asahi Super Dry Beer 4 Pack (330 ml),6.89,"WAS 8.00, NOW 6.89, SAVE 1.11",8.00,SuperValu,20210615
12 Acres Pallet Jack India Pale Lager (440 ml),3.25,,,SuperValu,20210615
5 Lamp Lager Bottle (500 ml),3.00,,,SuperValu,20210615
5 Lamps Pale Ale (500 ml),3.00,,,SuperValu,20210615
8D Citra Single Hop IPA (440 ml),3.00,,,SuperValu,20210615
Bulmers Irish Cider Cans 12 Pack (500 ml),15.00,"WAS 20.00, NOW 15.00, SAVE 5.00",20.00,SuperValu,20210615
Druids Celtic Cider Cans 8 Pack (500 ml),11.00,"WAS 13.00, NOW 11.00, SAVE 2.00",13.00,SuperValu,20210615
Kopparberg Rose Apple Cider (500 ml),3.00,"WAS 3.45, NOW 3.00, SAVE 0.45",3.45,SuperValu,20210615
Kopparberg Strawberry & Lime Cider (500 ml),3.00,"WAS 3.45, NOW 3.00, SAVE 0.45",3.45,SuperValu,20210615
Orchard Thieves Apple Cider Cans 8 Pack (500 ml),12.50,"WAS 13.50, NOW 12.50, SAVE 1.00",13.50,SuperValu,20210615
Absolut Citron Vodka (70 cl),21.00,"WAS 26.30, NOW 21.00, SAVE 5.30",26.30,SuperValu,20210615
Absolut Grapefruit Vodka (70 cl),21.00,"WAS 26.00, NOW 21.00, SAVE 5.00",26.00,SuperValu,20210615
Absolut Raspberri Vodka (70 cl),21.00,"WAS 26.30, NOW 21.00, SAVE 5.30",26.30,SuperValu,20210615
Absolut Vanilla Vodka (70 cl),21.00,"WAS 26.00, NOW 21.00, SAVE 5.00",26.00,SuperValu,20210615
Absolut Vodka (70 cl),21.00,"WAS 27.85, NOW 21.00, SAVE 6.85",27.85,SuperValu,20210615
Ceder's Crisp Distilled Non - Alcoholic (50 cl),20.00,"WAS 25.00, NOW 20.00, SAVE 5.00",25.00,SuperValu,20210615
Erdinger Non Alcoholic Bottles 6 Pack (330 ml),6.99,"WAS 7.99, NOW 6.99, SAVE 1.00",7.99,SuperValu,20210615
Bavaria 0.0% Beer (500 ml),1.29,,,SuperValu,20210615
Beck's Alcohol-Free Bottles 6 Pack (275 ml),4.99,,,SuperValu,20210615
Brew Dog Punk Alcohol Free IPA Cans 4 Pack (330 ml),6.00,,,SuperValu,20210615
Absolut Vodka (35 cl),11.50,"WAS 14.60, NOW 11.50, SAVE 3.10",14.60,SuperValu,20210615
Eristoff Original Vodka (70 cl),19.00,"WAS 23.20, NOW 19.00, SAVE 4.20",23.20,SuperValu,20210615
Finlandia Classic Vodka (70 cl),22.00,"WAS 27.50, NOW 22.00, SAVE 5.50",27.50,SuperValu,20210615
Smirnoff Vodka (1 L),27.00,"WAS 34.00, NOW 27.00, SAVE 7.00",34.00,SuperValu,20210615
Huzzar Vodka (1 L),32.20,,,SuperValu,20210615
Huzzar Vodka (200 ml),6.65,,,SuperValu,20210615
Huzzar Vodka (70 cl),22.59,,,SuperValu,20210615
Ketel One Botanical Peach and Orange Vodka (70 cl),30.00,,,SuperValu,20210615
Ketel One Vodka (70 cl),40.00,,,SuperValu,20210615
Smirnoff Vodka (70 cl),21.00,,,SuperValu,20210615
Smirnoff Vodka (35 cl),12.50,,,SuperValu,20210615
Smirnoff Vodka Red (20 cl),7.50,,,SuperValu,20210615
Bushmills Black Bush Irish Whiskey (70 cl),26.00,"WAS 33.00, NOW 26.00, SAVE 7.00",33.00,SuperValu,20210615
Bushmills Irish Whiskey Gift Tube (70 cl),25.00,"WAS 28.50, NOW 25.00, SAVE 3.50",28.50,SuperValu,20210615
Bushmills Triple Distilled Irish Whiskey (70 cl),25.00,"WAS 28.50, NOW 25.00, SAVE 3.50",28.50,SuperValu,20210615
Glendalough Double Barrel Whiskey (70 cl),32.00,"WAS 38.00, NOW 32.00, SAVE 6.00",38.00,SuperValu,20210615
Glendalough Pot Stil Irish Whiskey (70 cl),50.00,"WAS 55.00, NOW 50.00, SAVE 5.00",55.00,SuperValu,20210615
Grace O'Malley Blended Irish Whiskey (70 cl),29.00,"WAS 35.00, NOW 29.00, SAVE 6.00",35.00,SuperValu,20210615
Jameson Black Barrel Irish Whiskey (70 cl),40.00,"WAS 53.00, NOW 40.00, SAVE 13.00",53.00,SuperValu,20210615
Jameson Caskmates Irish Whiskey (70 cl),28.00,"WAS 39.00, NOW 28.00, SAVE 11.00",39.00,SuperValu,20210615
Jameson IPA Edition Irish Whiskey (70 cl),28.00,"WAS 39.00, NOW 28.00, SAVE 11.00",39.00,SuperValu,20210615
Kilbeggan Black (70 cl),28.00,"WAS 33.00, NOW 28.00, SAVE 5.00",33.00,SuperValu,20210615
Kilbeggan Irish Whiskey (70 cl),20.00,"WAS 27.27, NOW 20.00, SAVE 7.27",27.27,SuperValu,20210615
Method & Madness Single Grain Whiskey (70 cl),45.00,"WAS 50.00, NOW 45.00, SAVE 5.00",50.00,SuperValu,20210615
Paddy Irish Whiskey (1 L),27.00,"WAS 42.50, NOW 27.00, SAVE 15.50",42.50,SuperValu,20210615
Paddy Irish Whiskey (200 ml),8.00,"WAS 11.00, NOW 8.00, SAVE 3.00",11.00,SuperValu,20210615
Paddy's Irish Whiskey (70 cl),24.50,"WAS 28.50, NOW 24.50, SAVE 4.00",28.50,SuperValu,20210615
Powers Classic Cocktail The Old Fashioned (50 cl),23.00,"WAS 30.00, NOW 23.00, SAVE 7.00",30.00,SuperValu,20210615
Powers Gold Label Irish Whiskey (70 cl),25.00,"WAS 30.50, NOW 25.00, SAVE 5.50",30.50,SuperValu,20210615
Powers Gold Label Irish Whiskey (200 ml),9.00,"WAS 10.70, NOW 9.00, SAVE 1.70",10.70,SuperValu,20210615
Powers Three Swallow Single Pot Still Irish Whiskey (70 cl),33.00,"WAS 46.00, NOW 33.00, SAVE 13.00",46.00,SuperValu,20210615
Teeling Irish Whiskey (70 cl),35.00,"WAS 38.00, NOW 35.00, SAVE 3.00",38.00,SuperValu,20210615
Teeling Small Batch Irish Whiskey Gift Tin (70 cl),35.00,"WAS 38.00, NOW 35.00, SAVE 3.00",38.00,SuperValu,20210615
TEELING WHISKEY SINGLE MALT (70 cl),52.00,"WAS 54.99, NOW 52.00, SAVE 2.99",54.99,SuperValu,20210615
Connemara Single Malt Irish Whiskey (70 cl),42.00,,,SuperValu,20210615
Dunphy's Irish Whiskey (70 cl),21.00,,,SuperValu,20210615
Dunvilles 1808 Blended Irish Whiskey (70 cl),38.00,,,SuperValu,20210615
